name,userType,dogOwner,parent
Elizabeth Crist,Resident,false,false
Robert Marvin,Resident,false,false
Tabitha Rogahn,Resident,false,false
Sheri Hyatt,Resident,false,true
Rick Sporer,Resident,false,true
Ken Gutkowski,Resident,false,true
Howard Reilly,Resident,true,false
Claire Flatley,Resident,false,true
Mack Zboncak,Resident,true,false
Bennie Stokes,Resident,false,true
Brenda Davis,Resident,false,false
Harriet Terry,Resident,true,false
Marguerite Schowalter,Resident,false,false
Candice Glover,Resident,true,false
Steven Ortiz,Resident,true,false
Myron Lueilwitz,Resident,true,true
Flora Walker,Resident,false,false
Clyde Brakus,Resident,false,true
Beth Fadel,Resident,true,true
Kristine Ratke,Resident,true,true
Gilbert Bernier,Resident,true,true
Ms. Myron Roberts,Resident,false,false
Marta Haag,Resident,false,false
Krystal Heller,Resident,false,false
Jordan Fisher,Resident,true,false
Dr. Nora Breitenberg,Resident,true,true
Darrell Vandervort,Resident,false,false
Gabriel Lind,Resident,false,true
Kristin Heaney,Resident,true,true
Sean Padberg,Resident,true,false
Warren Schimmel,Resident,true,true
Emanuel Blick,Resident,false,false
Shelley Boehm,Resident,false,false
Bill Denesik,Resident,true,false
Bill Jacobson PhD,Resident,false,false
Mr. Terry Anderson,Resident,false,false
Victoria Steuber,Resident,true,true
Josefina Thompson DDS,Resident,true,false
Rachel Kihn,Resident,true,true
Seth Ebert,Resident,false,true
Dr. Marion Sawayn,Resident,true,false
Marion O'Keefe,Resident,false,true
Boyd Gerlach,Resident,true,false
Drew Grimes,Resident,false,false
Juan Kunde,Resident,true,true
John Franecki,Resident,true,false
Tiffany Bailey,Resident,false,true
Charlotte Effertz,Resident,false,true
Mabel Dibbert,Resident,false,false
Kellie Schamberger,Resident,true,true
Mindy Stroman,Resident,false,true
Winston Schaden,Resident,true,true
Elsa Wilkinson MD,Resident,true,false
Ella McGlynn,Resident,false,true
Carole Rice,Resident,false,true
Julius Rice IV,Resident,true,true
Martha Tillman,Resident,false,true
Janice Okuneva Sr.,Resident,false,false
Penny Keebler I,Resident,false,true
Lynn Tillman Sr.,Resident,true,false
Clara Kemmer,Resident,true,false
Tiffany Carroll,Resident,true,false
Samantha Emard,Resident,false,true
Henrietta Koelpin,Resident,false,true
Mabel O'Kon,Resident,true,true
Sherman Halvorson,Resident,true,false
Daryl White V,Resident,true,true
Adam Borer,Resident,false,false
Ms. Velma Gorczany,Resident,true,true
Ira Swift,Resident,false,true
Edith Muller,Resident,true,true
Allen Conn,Resident,false,true
Vernon Emard,Resident,true,true
Victor Koss,Resident,true,true
Becky Harris,Resident,true,true
David Hilpert,Resident,false,true
Mr. Chelsea Koepp,Resident,false,false
Barbara Gutmann,Resident,true,true
Essie McKenzie,Resident,true,false
Ms. Amy Okuneva,Resident,false,false
Edgar Rowe,Resident,false,true
Desiree Kling,Resident,true,false
Shelly Weissnat,Resident,true,true
Naomi Stiedemann,Resident,true,false
Jake Nitzsche,Resident,true,true
Marion Lowe,Resident,true,true
Miss Cynthia Volkman,Resident,true,false
Shirley Wilkinson,Resident,false,false
Beulah Crist,Resident,false,true
Dan Dibbert,Resident,false,true
Johnnie Crooks,Resident,false,false
Doug Marquardt,Resident,false,false
Hugh Pollich I,Resident,true,true
Tony Satterfield,Resident,false,false
Laura Barton I,Resident,true,false
Timothy Bosco,Resident,false,true
Roy Schmidt,Resident,true,false
Mitchell Gleichner,Resident,false,true
Cornelius Dibbert,Resident,false,false
Brent Simonis,Resident,true,true
Shawn Renner,Resident,true,true
Juana Reynolds,Resident,true,true
Kristine Huels Jr.,Resident,false,false
Sabrina Lynch,Resident,true,false
Heidi VonRueden,Resident,true,true
Gertrude Hayes V,Resident,true,true
Timmy Miller,Resident,false,false
Crystal Hoppe IV,Resident,false,true
Chelsea Grimes,Resident,false,false
Adam Hirthe,Resident,true,true
Hope Gerlach,Resident,true,false
Pearl Wolff,Resident,false,false
Sue Miller,Resident,true,false
Dominic Toy II,Resident,true,true
Emma Kertzmann,Resident,true,true
Dr. Travis Murray,Resident,false,true
Irving Senger,Resident,false,false
Lawrence Gutmann,Resident,false,false
Mrs. Gertrude Bruen,Resident,true,true
Jennie Macejkovic,Resident,false,false
Charlotte Abernathy,Resident,true,false
Terrance Schumm,Resident,false,false
Enrique Boehm,Resident,true,true
Marjorie VonRueden PhD,Resident,true,false
Johnnie Maggio,Resident,true,true
Darnell Beer,Resident,false,true
Kimberly Murphy,Resident,false,true
Dana Kilback,Resident,false,true
Alvin Kreiger,Resident,true,false
Marion Kertzmann,Resident,false,false
Jane Greenholt,Resident,true,true
Brandi Rutherford,Resident,true,false
Emily Cremin,Resident,true,true
Diane Keeling,Resident,true,false
Micheal Feeney,Resident,false,true
Guadalupe Pagac,Resident,true,true
Steve Cartwright,Resident,true,true
Phillip Gutmann,Resident,false,true
Minnie Frami,Resident,false,true
Gary Mertz,Resident,false,true
Louis Mills,Resident,true,false
Fredrick Shields,Resident,true,false
Carmen Hamill,Resident,false,true
Melba Lindgren,Resident,true,true
Kristina Boehm,Resident,true,true
Toby Bosco,Resident,true,true
Fred Larson,Resident,true,false
Doyle Reynolds,Resident,false,false
Loren Yost,Resident,false,true
Mr. James Blick,Resident,true,false
Janet Hyatt,Resident,false,true
Willis Herman,Resident,true,false
Elisa Reynolds,Resident,false,true
Dr. Steven Rath,Resident,false,true
Winifred Stanton,Resident,false,true
Adrian Volkman,Resident,true,false
Sherman Fahey,Resident,true,false
Yvonne Skiles,Resident,false,false
Theresa Kiehn,Resident,false,false
Daniel Boyer,Resident,true,true
Nick Pfannerstill,Resident,true,false
Aubrey Hahn,Resident,false,true
Andy Hoppe,Resident,false,false
Nora McLaughlin,Resident,true,false
Celia Runte,Resident,true,false
Edgar Jerde,Resident,false,true
Sharon Doyle,Resident,false,false
Marsha Schulist,Resident,true,false
Forrest Lueilwitz,Resident,false,true
Iris Schamberger,Resident,false,false
Damon Cartwright,Resident,true,true
Ronnie Torphy,Resident,false,false
Jerome Gislason,Resident,false,true
Gladys Rogahn,Resident,false,false
Jan Collins,Resident,false,true
Essie Rath,Resident,true,true
Gustavo Skiles Sr.,Resident,false,true
Lorraine Davis,Resident,false,false
Fernando Konopelski,Resident,false,false
Jackie Hayes,Resident,true,true
Bradford Collier,Resident,false,true
Sheldon Friesen,Resident,false,true
Lauren Kunde V,Resident,false,true
Caleb Brekke,Resident,false,false
Carolyn Labadie,Resident,true,true
Travis Macejkovic,Resident,false,false
Jeremiah Glover,Resident,false,true
Joel Koepp,Resident,false,true
Carlton Boyle V,Resident,true,true
Miss Darlene Shields,Resident,true,true
Stella Crona,Resident,true,false
Laurie Nikolaus,Resident,false,false
Brian Keebler,Resident,true,true
Freda Homenick,Resident,true,true
Eduardo Schinner,Resident,true,true
Holly Dicki,Resident,false,true
Gary Pagac,Resident,true,true
Alton Swaniawski,Resident,true,true
Stanley Bednar,Resident,false,false
Loretta Jacobson,Resident,true,true
David Wyman,Resident,false,true
Ms. Neal Mante,Resident,false,true
Mr. Dwight Schaefer,Resident,true,false
Miss Cornelius Bauch,Resident,true,false
Micheal Bayer,Resident,true,false
Emanuel Torp,Resident,true,true
Vickie Koch,Resident,true,true
Ms. Elisa Gibson,Resident,false,true
Nicholas Lowe,Resident,true,false
Marshall Mertz,Resident,true,true
Ms. Bonnie Johnston,Resident,false,true
Joe Toy,Resident,false,true
Grady Lind,Resident,false,true
Edmond Altenwerth,Resident,false,false
Timmy Hirthe,Resident,false,false
Tracy Johns,Resident,false,true
Dr. Daniel Metz,Resident,false,true
Lucille Koss,Resident,false,false
Bridget Raynor,Resident,true,false
Sabrina Nicolas,Resident,false,true
Miranda Rutherford,Resident,true,true
Rogelio Wolf,Resident,false,true
Merle Wisoky,Resident,true,true
Rose Carroll,Resident,true,false
Marion Senger,Resident,true,false
Lorenzo Runolfsdottir,Resident,true,false
Daryl Jones,Resident,true,false
Elsie Spencer,Resident,false,true
Ms. Dominick Bashirian,Resident,false,false
Miranda Shanahan,Resident,true,false
Sherman Abernathy,Resident,false,true
Mrs. Derrick Gerlach,Resident,false,true
Miss Joe Mills,Resident,false,false
Noah Kihn,Resident,true,false
Courtney Glover,Resident,false,false
Jake Bruen,Resident,false,false
Cory Batz,Resident,true,false
Darnell Wisoky,Resident,false,true
Dave Dicki,Resident,true,true
Angie Hills,Resident,false,false
Michael Kuvalis,Resident,false,false
Viola Littel,Resident,true,false
Lyle Zulauf,Resident,true,false
Inez Baumbach,Resident,false,true
Kimberly Prosacco DDS,Resident,false,true
Nora Greenholt,Resident,true,true
Mona Flatley,Resident,true,true
Nancy Klocko,Resident,false,false
Guillermo Harvey V,Resident,true,false
Stuart Schinner,Resident,false,true
Edna Hills,Resident,true,true
Cory Effertz,Resident,true,true
Mabel Toy,Resident,false,true
Dr. Percy Gislason,Resident,true,true
Juanita Weber,Resident,false,true
Molly Gerlach,Resident,false,true
Morris Schuppe,Resident,false,false
Leslie Dibbert,Resident,false,false
Sheri Ritchie,Resident,false,false
Grant Bruen,Resident,false,false
Darnell Ratke,Resident,true,false
Kurt Harber V,Resident,false,false
Byron Ritchie,Resident,true,false
Marian Simonis,Resident,false,true
Maurice Mante,Resident,false,false
Brandi Boyer,Resident,true,true
Jean Wisoky,Resident,true,false
Robyn Schultz,Resident,true,true
Chad Jaskolski,Resident,true,false
Clay Littel,Resident,false,false
Larry Lynch,Resident,true,false
Lawrence Corkery,Resident,true,true
Taylor Mayer,Resident,false,true
Alexis Davis,Resident,true,false
Glenn Turcotte,Resident,false,false
Matt Fisher,Resident,true,false
Karen Vandervort,Resident,false,false
Dixie Lind,Resident,true,true
Arlene Von,Resident,false,true
Leslie Konopelski DDS,Resident,false,false
Kim Howe,Resident,true,false
Gail Hane,Resident,false,true
Amos Mayer,Resident,false,false
Bryant Hilll,Resident,true,true
Wilbur Kiehn,Resident,false,false
Susie Steuber,Resident,false,true
Gabriel Mante,Resident,false,false
Lewis Effertz,Resident,true,false
Mrs. Paul Kovacek,Resident,true,false
Blanche O'Hara,Resident,true,false
Joey Raynor,Resident,false,false
Patsy West,Resident,true,false
Amanda Lubowitz,Resident,true,false
Stacey Lindgren PhD,Resident,false,false
Josh Nolan,Resident,true,true
Luz Prosacco,Resident,true,false
Dolores Daniel,Resident,false,false
Lorenzo Mayer,Resident,true,true
Sandy Konopelski I,Resident,true,false
Julius Hills,Resident,true,false
Eloise Harvey,Resident,false,false
Tracey Balistreri,Resident,false,false
Debra Auer,Resident,true,false
Alberta Bayer,Resident,true,true
Maxine Berge,Resident,true,false
Lucy Feest,Resident,false,false
Toni Feeney,Resident,true,true
Guadalupe Hamill,Resident,true,false
Miss Maria Hegmann,Resident,false,false
Dana Little,Resident,false,false
Mable Toy II,Resident,true,true
Dr. Wanda Nader,Resident,false,true
Mrs. Heather Marvin,Resident,true,true
Enrique Torphy,Resident,false,true
Sammy Bechtelar MD,Resident,true,true
Cory Thiel,Resident,false,true
Allison Bashirian,Resident,true,true
Albert Rolfson,Resident,false,false
Beatrice Prohaska,Resident,false,false
Chester Koch,Resident,false,false
Kevin Jenkins,Resident,false,true
Edward Pagac MD,Resident,false,true
Ora Ferry,Resident,false,true
Dean McLaughlin Sr.,Resident,true,true
Katrina Hackett,Resident,false,true
Ross Doyle,Resident,true,false
Jamie Braun,Resident,false,true
Johnnie Oberbrunner,Resident,false,false
Wm Waelchi,Resident,true,false
Dr. Chelsea Klocko,Resident,false,false
Clara Upton,Resident,false,true
Clayton Daniel,Resident,false,false
Tamara Stanton,Resident,true,false
Douglas Lind Jr.,Resident,true,false
Larry Littel,Resident,false,false
Jackie Stehr,Resident,true,false
Nathan Wintheiser,Resident,true,true
Elena Weber,Resident,true,false
Brent Quitzon,Resident,false,false
Mrs. Carla Dickens,Resident,false,true
Delia Herzog,Resident,true,true
Todd Kilback,Resident,false,true
Ms. Kay Bins,Resident,false,false
Lamar Hettinger,Resident,true,false
Cynthia Wintheiser,Resident,false,true
Reginald Rolfson,Resident,true,false
Jasmine Anderson,Resident,false,true
Bobby Batz,Resident,false,true
Mrs. Charles Mosciski,Resident,true,false
Edith Feest,Resident,true,true
Gail Glover,Resident,false,true
Joseph Connelly,Resident,true,false
Lisa Emmerich,Resident,true,true
Ismael Dooley,Resident,false,true
Aaron McDermott,Resident,false,false
Jan Fay,Resident,true,false
Mrs. Krystal Durgan,Resident,false,false
Mr. Rafael Renner,Resident,true,false
Regina Kerluke,Resident,true,false
Erik Conroy,Resident,false,true
Lynette Schmeler,Resident,false,false
Homer Zieme,Resident,false,true
Mrs. Preston Jerde,Resident,true,true
Dominic Howe,Resident,true,false
April Connelly II,Resident,false,true
Camille Luettgen,Resident,false,false
Robin Okuneva,Resident,true,true
Ethel Lind,Resident,false,false
Dwayne Skiles,Resident,false,false
Guy Upton,Resident,true,true
Marcia MacGyver,Resident,false,false
Jill Bergnaum,Resident,true,false
Eva Adams,Resident,false,true
May Witting,Resident,false,false
Cora Blanda II,Resident,false,false
Mr. Roman Macejkovic,Resident,false,true
Felicia Schowalter PhD,Resident,true,false
Kyle Funk,Resident,false,false
Phil O'Conner,Resident,true,true
Joann Moen,Resident,false,true
Lillie Wunsch,Resident,true,true
Tommie Ortiz,Resident,false,true
Jo Dooley,Resident,false,false
Yvette Robel,Resident,false,false
Sonja Windler,Resident,true,false
Yvonne Hagenes,Resident,true,false
Cassandra Gulgowski,Resident,false,false
Lynette Stanton,Resident,false,true
Amos Turcotte,Resident,true,true
Doyle Wisoky,Resident,false,true
Valerie Raynor,Resident,true,true
Anna Schinner,Resident,false,false
Dr. Lindsey Larkin,Resident,false,true
Shari Carroll,Resident,true,false
Shelia Raynor,Resident,true,false
Lester Gleichner,Resident,false,false
Elvira Bayer,Resident,true,false
Charles Hayes,Resident,true,false
Freddie Mosciski,Resident,true,true
Melanie Witting,Resident,true,true
Ian Fadel V,Resident,true,true
Luz Walker,Resident,true,false
Stacy Bayer I,Resident,false,false
Jay Feest,Resident,false,false
Sandra Baumbach,Resident,true,false
Mr. Lula Rutherford,Resident,false,true
Samantha Halvorson,Resident,true,true
Ralph Waelchi,Resident,true,true
Felipe Stracke II,Resident,true,false
Andre Gulgowski PhD,Resident,true,false
Clinton Ernser,Resident,false,true
Judy Ferry,Resident,false,true
Krista Sawayn,Resident,true,false
Dr. Myrtle Carter,Resident,true,false
Nathaniel Kassulke,Resident,true,false
Joanne Rodriguez,Resident,true,true
Evelyn Schuster,Resident,false,true
Sheryl Kuhn II,Resident,false,false
Darla Howe,Resident,true,false
Jan Moen,Resident,true,true
Elsa Abernathy,Resident,false,true
Sheila Morar,Resident,false,false
Jeannette Sawayn,Resident,true,false
Ismael Champlin,Resident,false,false
Marion Koepp,Resident,false,true
Samuel Adams,Resident,false,true
Sue Schultz,Resident,false,true
Erick Dickinson,Resident,true,false
Hilda Christiansen,Resident,true,true
Edmund Breitenberg,Resident,true,false
Miss Guillermo Bartoletti,Resident,false,false
Cameron Schuster,Resident,false,false
Loretta Weber,Resident,false,false
Virginia Wuckert,Resident,false,false
Ms. Arturo Larkin,Resident,true,false
Rosemary Nader,Resident,true,true
Lola Schaefer,Resident,true,false
Terry Collier,Resident,false,false
Ignacio Hodkiewicz,Resident,true,true
Barbara Trantow,Resident,true,false
Lynn Ernser I,Resident,true,true
Lloyd Zulauf,Resident,false,false
Ivan Prohaska,Resident,false,true
Pat O'Hara,Resident,true,true
Miss Hope Reichel,Resident,false,false
Damon Skiles,Resident,false,true
Miss Marlon Williamson,Resident,true,false
Randy Hills,Resident,false,false
Roman Kovacek,Resident,false,true
Nathaniel Parker DVM,Resident,true,true
Isaac Upton,Resident,true,true
Trevor Olson I,Resident,true,false
Ms. Erma Mann,Resident,true,false
Sheldon Ratke,Resident,true,false
Mrs. Robyn Robel,Resident,false,false
Gary Borer,Resident,true,true
Marc Armstrong,Resident,true,true
Morris Langworth,Resident,false,true
Bernadette Bergstrom,Resident,true,false
Percy Harber,Resident,true,true
Toni Reichert,Resident,false,false
Oscar Koelpin,Resident,false,false
Douglas Feil,Resident,false,false
Dr. Latoya Quitzon,Resident,false,true
Rosie Senger DVM,Resident,false,true
Mabel Hoeger,Resident,false,true
Larry Stanton,Resident,false,true
Vicki Murray,Resident,true,true
Pam Koelpin,Resident,true,true
Miss Michael Gusikowski,Resident,true,false
Kim Kerluke Sr.,Resident,true,true
Ethel Abernathy,Resident,false,true
Crystal Wiegand,Resident,true,false
Ms. Jermaine Howell,Resident,false,false
Veronica Collier,Resident,true,true
Bennie Hermiston,Resident,true,true
Delbert Okuneva,Resident,true,true
Mercedes Sipes,Resident,false,true
Dr. Veronica Grant,Resident,true,false
Wayne Miller,Resident,true,true
Hannah Ritchie,Resident,false,false
Randy Swift,Resident,true,false
Courtney Grady,Resident,true,false
Rosie Gerhold II,Resident,true,true
Penny Jerde,Resident,false,true
Derrick Stoltenberg I,Resident,false,true
Mildred Sporer MD,Resident,true,false
Elvira Rowe DVM,Resident,true,false
Mr. Perry Marks,Resident,false,false
Olga Harris,Resident,true,true
Miriam Fritsch,Resident,false,false
Judy Douglas,Resident,true,false
Dr. Cary Jacobson,Resident,true,false
Cora Schaefer,Resident,false,false
Edgar Fisher,Resident,false,true
Joe Bashirian,Resident,true,true
Blake Marks,Resident,false,false
Bernice Turner Jr.,Resident,true,false
Tiffany Wiza,Resident,false,false
Shawna McKenzie,Resident,false,false
Gwen Ondricka,Resident,false,true
Robyn Graham,Resident,false,true
Ms. Grady Spencer,Resident,true,false
Herman Kihn,Resident,true,false
Norman Will,Resident,true,false
Taylor Lubowitz,Resident,false,true
Nichole Jerde,Resident,false,true
Roderick Hilll,Resident,true,true
Micheal Dare,Resident,false,true
Victoria Heller,Resident,false,true
Stanley Bogan,Resident,false,false
Theodore Bashirian DVM,Resident,true,true
Myrtle Mosciski,Resident,false,true
Maurice McKenzie,Resident,false,false
Miss Wendell Herman,Resident,true,false
Bruce Stark,Resident,true,false
Annie Donnelly IV,Resident,false,true
Sadie VonRueden,Resident,false,false
Esther Emard,Resident,true,false
Theresa Bailey III,Resident,false,true
Margie Lind,Resident,true,true
Joanne Legros,Resident,false,false
Ramon Kuphal,Resident,false,true
Alex Collins,Resident,false,true
Mamie Lockman,Resident,true,true
Darrin Zemlak,Resident,false,true
Roman Towne,Resident,false,true
Julius Lynch,Resident,true,false
Courtney Walsh,Resident,true,false
Miss Sam Herman,Resident,true,true
Ramiro Ferry,Resident,false,false
Monique Roberts,Resident,true,true
Juan Trantow,Resident,true,false
Tricia Lind,Resident,true,false
Wm Reichert,Resident,true,false
Elisa Kshlerin,Resident,true,true
Sheryl Abernathy,Resident,true,false
Leonard Nolan,Resident,false,true
Gayle Parisian II,Resident,true,false
Donnie Doyle,Resident,false,false
Kay Windler,Resident,false,false
Ada Witting,Resident,true,true
Lee Gulgowski I,Resident,false,false
Timmy Dietrich,Resident,false,true
Patricia Hand,Resident,false,true
Percy Cremin,Resident,true,false
Candace Hansen II,Resident,true,true
Garry Renner,Resident,false,true
Pamela Beatty MD,Resident,false,false
Jeffery Renner,Resident,false,true
Edwin Koelpin,Resident,false,true
Felix Kihn,Resident,true,false
Peter Nicolas,Resident,false,true
Henrietta Price,Resident,true,true
Simon Langworth,Resident,false,false
Alicia Shields,Resident,false,true
Eva Howell,Resident,true,true
Lydia Torphy,Resident,false,true
Corey Stanton,Resident,false,false
Minnie Hirthe,Resident,true,true
Molly Murphy,Resident,false,false
Arnold Franecki,Resident,true,true
Edith Kris,Resident,false,false
Janie Beatty,Resident,false,true
Marjorie Parker,Resident,false,true
Toby Schmitt,Resident,false,true
Ronnie Herzog,Resident,false,false
Kirk Torphy,Resident,true,true
Dolores Erdman IV,Resident,true,false
Robin Jones,Resident,false,false
Pamela Crona,Resident,false,true
Gilberto Carroll,Resident,true,false
Annie Larkin,Resident,true,true
Dewey Roob,Resident,false,true
Alejandro Okuneva,Resident,false,true
Sandra Weber,Resident,false,false
Ryan Kiehn,Resident,false,true
Nicholas Ruecker,Resident,false,false
Thelma Gutkowski,Resident,false,true
Noel Rowe,Resident,true,false
Paul Rodriguez,Resident,false,true
Terrence Johns,Resident,false,false
Whitney Hills,Resident,true,false
Noel Corkery,Resident,false,false
David Witting,Resident,true,true
Olivia Lowe,Resident,false,true
Kerry Grant,Resident,false,false
Vincent Sauer,Resident,true,true
Marcus Goldner,Resident,true,false
Jeff Reinger Sr.,Resident,true,false
Willis Gleason,Resident,true,true
Brad Okuneva,Resident,false,true
Irvin Zboncak,Resident,false,true
Danielle Dare,Resident,true,false
Dr. Luz Mills,Resident,false,true
Tammy O'Connell,Resident,true,false
Ivan Von MD,Resident,false,false
Janie Bergnaum,Resident,false,false
Ms. Elaine Powlowski,Resident,true,false
Katrina Rice,Resident,false,false
Miss Stephen Ortiz,Resident,true,true
Raul Wolf DDS,Resident,true,false
Audrey Leannon,Resident,false,false
Ms. Antonio Gulgowski,Resident,false,false
Wm O'Kon,Resident,false,false
Ms. Devin Koelpin,Resident,true,false
Andres Rohan,Resident,true,true
Roger Tromp,Resident,false,false
Rodney Carroll,Resident,false,false
Delores Beahan,Resident,true,true
Abel Macejkovic,Resident,false,true
Brandi Toy,Resident,true,true
Tasha Witting,Resident,true,false
Steve Wyman,Resident,false,false
Sonya Bauch,Resident,false,false
Jacquelyn Jones,Resident,true,true
Ruth Rice,Resident,true,false
Shelly Collins,Resident,false,true
Mrs. Joe Lehner,Resident,false,false
Louise Kub,Resident,false,false
Patricia Gislason,Resident,false,true
Ms. Sophia Hand,Resident,true,true
Katie Simonis,Resident,true,true
Roman Doyle,Resident,false,true
Lisa Wunsch,Resident,false,true
Elsa Carroll,Resident,true,true
Martin Hickle,Resident,false,false
Calvin Satterfield,Resident,false,true
Scott Huels,Resident,true,true
Carolyn Pagac,Resident,false,false
Bennie Ankunding DVM,Resident,true,false
Hubert Christiansen,Resident,true,true
Erin Romaguera,Resident,true,false
Jeremy Hahn,Resident,true,false
Mario Strosin,Resident,true,false
Miss Ricky Cronin,Resident,false,false
Helen Bergstrom,Resident,true,true
Evelyn Legros,Resident,true,false
Brent Berge IV,Resident,true,true
Leticia Swift,Resident,true,true
Marcella Sporer,Resident,false,false
Isabel Haag,Resident,false,true
Mae Lebsack,Resident,true,true
Ms. Kara Bogan,Resident,false,true
Mr. Juan Cassin,Resident,true,true
Steven Fisher,Resident,true,false
Miss Dominic Klocko,Resident,false,false
Freda Schmitt,Resident,true,true
Charles Zboncak III,Resident,true,false
Barry Stroman,Resident,true,true
Paul Hoppe I,Resident,false,true
Jenny Bechtelar,Resident,true,false
Cecilia Klein I,Resident,false,false
Adrienne Pagac,Resident,true,true
Olga Mueller,Resident,false,true
Corey Grady,Resident,true,true
Joe McClure,Resident,true,true
Gertrude Orn,Resident,true,true
Karl Batz,Resident,false,true
Kevin Tremblay,Resident,false,true
Rufus Schroeder,Resident,false,true
Carlos Marks,Resident,false,true
Gordon Weber,Resident,false,true
Lorena Predovic,Resident,true,true
Felix Schaden,Resident,false,true
Tim Aufderhar,Resident,true,false
Jerald Feest,Resident,false,true
Gabriel Luettgen III,Resident,true,true
Louis Krajcik,Resident,true,true
Morris Bernier,Resident,true,true
Clarence Homenick,Resident,false,false
Myron Johnston,Resident,true,false
Orville Koch,Resident,true,true
Randolph Conroy,Resident,true,false
Miss Forrest Lemke,Resident,false,false
